ticker,name,window,inverse_return,inverse_final,inverse_wins,inverse_losses,believe_return,believe_final,spread
SPY,S&P 500,next_day,0.06990169029877871,100069.90169029878,7,6,-0.3282178714168258,99671.78212858317,0.3981195617156045
SPY,S&P 500,end_of_week,0.28964576973769,100289.64576973769,6,7,-0.5468457223048027,99453.1542776952,0.8364914920424926
SPY,S&P 500,thirty_day,1.6830436406489897,101683.04364064899,10,3,-1.913556149917291,98086.44385008271,3.5965997905662808
IWM,Russell 2000 (Small Caps),next_day,0.14411420179193374,100144.11420179193,6,7,-0.40498486853264326,99595.01513146736,0.549099070324577
IWM,Russell 2000 (Small Caps),end_of_week,0.8119279739198392,100811.92797391984,7,6,-1.065125773715612,98934.87422628439,1.877053747635451
IWM,Russell 2000 (Small Caps),thirty_day,2.8243031770690865,102824.30317706909,8,5,-3.0149384938826262,96985.06150611737,5.839241670951713
XLF,Financials,next_day,0.30338500050282163,100303.38500050282,8,5,-0.561797318666795,99438.2026813332,0.8651823191696166
XLF,Financials,end_of_week,0.8392040098761353,100839.20400987614,8,5,-1.0919917071526726,98908.00829284733,1.9311957170288079
XLF,Financials,thirty_day,4.98597488699932,104985.97488699932,12,1,-5.019901102502132,94980.09889749787,10.005875989501451
XLE,Energy,next_day,-1.3096760442066298,98690.32395579337,3,10,1.063897867229447,101063.89786722945,-2.3735739114360768
XLE,Energy,end_of_week,-2.0449285010161544,97955.07149898385,2,11,1.8204876402553927,101820.4876402554,-3.865416141271547
XLE,Energy,thirty_day,-10.915500534306354,89084.49946569365,1,12,11.775059720021366,111775.05972002137,-22.69056025432772
XLI,Industrials,next_day,0.13596373006734938,100135.96373006735,6,7,-0.3942774374095316,99605.72256259047,0.530241167476881
XLI,Industrials,end_of_week,0.08330307475510927,100083.30307475511,6,7,-0.34335431552802037,99656.64568447198,0.42665739028312966
XLI,Industrials,thirty_day,-2.546390360444071,97453.60963955593,5,8,2.2992593923076785,102299.25939230768,-4.84564975275175
SMH,Semiconductors,next_day,0.10490446323505602,100104.90446323506,6,7,-0.36788931628481075,99632.11068371519,0.4727937795198668
SMH,Semiconductors,end_of_week,0.4601203160159493,100460.12031601595,7,6,-0.7206187312786643,99279.38126872134,1.1807390472946135
SMH,Semiconductors,thirty_day,0.3074170994379238,100307.41709943792,6,7,-0.5850101113053097,99414.98988869469,0.8924272107432334
KRE,Regional Banks,next_day,-0.8459939656186325,99154.00603438137,5,8,0.5858486284706887,100585.84862847069,-1.4318425940893214
KRE,Regional Banks,end_of_week,0.6715031455919961,100671.503145592,6,7,-0.9289924619770464,99071.00753802295,1.6004956075690426
KRE,Regional Banks,thirty_day,3.014629080933606,103014.6290809336,9,4,-3.2577490013239583,96742.25099867604,6.272378082257564
XHB,Homebuilders,next_day,-0.11106328358543396,99888.93671641457,5,8,-0.1502859706672316,99849.71402933277,0.03922268708179763
XHB,Homebuilders,end_of_week,0.6514037731212593,100651.40377312126,8,5,-0.9193021451587846,99080.69785484122,1.5707059182800438
XHB,Homebuilders,thirty_day,2.7865613656629575,102786.56136566296,6,7,-3.061628083915188,96938.37191608481,5.848189449578145
EEM,Emerging Markets,next_day,-0.015362230853468644,99984.63776914653,6,7,-0.24453316280963192,99755.46683719037,0.22917093195616328
EEM,Emerging Markets,end_of_week,0.08419765143738187,100084.19765143738,5,8,-0.3457713506325672,99654.22864936743,0.42996900206994904
EEM,Emerging Markets,thirty_day,-0.562839060482569,99437.16093951743,6,7,0.26831942905302275,100268.31942905302,-0.8311584895355918
TQQQ,3x Nasdaq,next_day,0.8180984792968665,100818.09847929687,8,5,-1.0911148050453048,98908.8851949547,1.9092132843421714
TQQQ,3x Nasdaq,end_of_week,1.7853543839596242,101785.35438395962,8,5,-2.0335250603648602,97966.47493963514,3.8188794443244847
TQQQ,3x Nasdaq,thirty_day,9.235251084598959,109235.25108459896,12,1,-8.785982964430456,91214.01703556954,18.021234049029417
SPXL,3x S&P 500,next_day,0.5444769608093629,100544.47696080936,8,5,-0.8092146663302993,99190.7853336697,1.3536916271396622
SPXL,3x S&P 500,end_of_week,1.2882102805282338,101288.21028052823,8,5,-1.5395910214450705,98460.40897855493,2.827801301973304
SPXL,3x S&P 500,thirty_day,6.4683302216888405,106468.33022168884,10,3,-6.371699104094121,93628.30089590588,12.840029325782961
TNA,3x Russell 2000,next_day,0.6829528832461074,100682.95288324611,7,6,-0.9714905862480081,99028.50941375199,1.6544434694941155
TNA,3x Russell 2000,end_of_week,2.9547014998601515,102954.70149986015,7,6,-3.1605382394202173,96839.46176057978,6.115239739280369
TNA,3x Russell 2000,thirty_day,10.362011820644838,110362.01182064484,10,3,-9.776625720957338,90223.37427904266,20.138637541602176
