final,return_pct,max_dd,worst_day,wins,losses,trades,max_open,approach,window,mode
101007.2934859913,1.007293485991293,-1.8230540305622267,-0.7386223913410705,99,161,260,24,A,next_day,inverse
103309.06895474403,3.3090689547440273,-2.485001694444313,-1.6154374040602715,98,162,260,24,A,next_day,believe
105808.60229725637,5.808602297256367,-3.055309947371538,-1.0195456044249984,109,151,260,68,A,end_of_week,inverse
103314.09544933945,3.3140954493394528,-4.873284926984786,-1.6154374040603048,98,162,260,68,A,end_of_week,believe
109243.11883188607,9.243118831886065,-9.154220756530721,-5.712593059893711,172,88,260,158,A,thirty_day,inverse
87323.13783391606,-12.676862166083941,-18.970327677874472,-4.002136405544199,58,202,260,158,A,thirty_day,believe
102152.77609055673,2.152776090556727,-1.0627732005027228,-0.4266505133562304,94,141,235,24,C,next_day,inverse
98788.93188139993,-1.211068118600073,-3.0191156749821033,-2.0198987794458945,83,152,235,24,C,next_day,believe
106676.79580923523,6.676795809235235,-2.368679290601733,-0.9607992059648129,103,132,235,68,C,end_of_week,inverse
99377.29604643883,-0.6227039535611694,-5.285608763339586,-2.0198987794458945,83,152,235,68,C,end_of_week,believe
112152.09099317857,12.152090993178572,-8.723972187463469,-5.712593059893711,160,75,235,141,C,thirty_day,inverse
85663.1122177486,-14.336887782251404,-20.60808561149129,-4.311305407435951,49,186,235,141,C,thirty_day,believe
100445.19978734301,0.4451997873430082,-0.5669187452994746,-0.40816326530612734,7,20,27,4,B,next_day,inverse
97830.73651550771,-2.1692634844922867,-3.950617283950623,-3.950617283950608,10,17,27,4,B,next_day,believe
101637.28156760159,1.6372815676015888,-0.5335201969670629,-0.4992867332382245,8,19,27,8,B,end_of_week,inverse
95721.80104390418,-4.278198956095817,-5.620007381109645,-3.9506172839506193,8,19,27,8,B,end_of_week,believe
124621.63257067677,24.62163257067677,-2.6976172496023034,-2.5334928232487064,16,11,27,19,B,thirty_day,inverse
90485.1855719269,-9.514814428073107,-15.271014024507446,-8.133829320555952,2,25,27,19,B,thirty_day,believe
