return,max_dd,worst_day,wins,losses,trades,max_open,pair,window,period
0.4276212601043371,-0.5629238682678753,-0.34552188442175114,6,5,11,1,XLF/SKF,next_day,in_sample
0.7134028880026889,-0.7837720936238555,-0.37964536481102096,6,5,11,2,XLF/SKF,end_of_week,in_sample
4.617740604818464,-2.2080286598745382,-1.815707137165412,9,2,11,7,XLF/SKF,thirty_day,in_sample
1.22879879474084,-0.7586085653651246,-0.4203763071637612,8,3,11,1,QQQ/SQQQ,next_day,in_sample
1.8025408621383976,-0.761285450366561,-0.6651062929227347,7,4,11,2,QQQ/SQQQ,end_of_week,in_sample
4.961756661016363,-4.016958033571699,-3.141345916547733,8,3,11,7,QQQ/SQQQ,thirty_day,in_sample
1.3085971441750153,-1.3912358414764958,-0.41209340808323613,7,4,11,1,IWM/TZA,next_day,in_sample
2.1345892843568874,-1.3739698662328939,-1.175260300861014,6,5,11,2,IWM/TZA,end_of_week,in_sample
2.3444518473485076,-6.055699098965034,-5.37739152535589,6,5,11,7,IWM/TZA,thirty_day,in_sample
0.2211821347965597,-0.17961054252158742,-0.08759449835756827,8,3,11,1,SPY/SH,next_day,in_sample
0.3736832262675598,-0.1974686639260593,-0.19746866392605922,6,5,11,2,SPY/SH,end_of_week,in_sample
1.1852779316710513,-1.108124465923816,-0.9243288992879295,8,3,11,7,SPY/SH,thirty_day,in_sample
0.7195996870244707,-0.5005335593578054,-0.26459476596573106,8,3,11,1,SPY/SPXU,next_day,in_sample
1.0506972028664459,-0.6040273935108827,-0.6040273935108864,6,5,11,2,SPY/SPXU,end_of_week,in_sample
3.2526149084447975,-3.3320063611255084,-2.836969431268166,8,3,11,7,SPY/SPXU,thirty_day,in_sample
1.8145091761211953,-1.3910811062306154,-0.41212902113079153,7,4,11,1,TNA/TZA,next_day,in_sample
2.999422606053791,-1.2987179614692734,-1.1750821648799925,6,5,11,2,TNA/TZA,end_of_week,in_sample
3.1125227564473463,-6.022830125806109,-5.347996227354301,6,5,11,7,TNA/TZA,thirty_day,in_sample
1.3669336961823864,-0.7575825881861125,-0.4198058556562745,8,3,11,1,TQQQ/SQQQ,next_day,in_sample
2.0212228396846474,-0.7478985804153695,-0.6681263240007507,7,4,11,2,TQQQ/SQQQ,end_of_week,in_sample
4.391606922051375,-4.038186047276744,-3.157946671051881,8,3,11,7,TQQQ/SQQQ,thirty_day,in_sample
-0.13695918317060568,-0.13695918317060568,-0.1224972553196979,0,1,1,1,XLF/SKF,next_day,oos
0.07904094652910135,-0.13200918317060858,-0.11754653847247942,1,0,1,1,XLF/SKF,end_of_week,oos
-1.1923604321024903,-1.6933985689872963,-0.5153200230568422,0,1,1,1,XLF/SKF,thirty_day,oos
-0.17433355131455755,-0.17433355131455755,-0.1490367690104466,0,1,1,1,QQQ/SQQQ,next_day,oos
0.9264201413123955,-0.16938355131456045,-0.14408551463293007,1,0,1,1,QQQ/SQQQ,end_of_week,oos
-1.835917928603376,-4.020687352389797,-1.196181458851886,0,1,1,1,QQQ/SQQQ,thirty_day,oos
-0.0805072867738345,-0.18832616890510864,-0.18832616890510634,0,1,1,1,IWM/TZA,next_day,oos
0.8797582867277524,-0.1969045893560455,-0.1969045893560506,1,0,1,1,IWM/TZA,end_of_week,oos
-2.2219993760453796,-3.3592969227738494,-1.1557193832737234,0,1,1,1,IWM/TZA,thirty_day,oos
-0.042148176094633526,-0.042148176094633526,-0.02913950648870678,0,1,1,1,SPY/SH,next_day,oos
0.27763636980380396,-0.03719817609463644,-0.024188862288043733,1,0,1,1,SPY/SH,end_of_week,oos
-0.4593769892660203,-1.0091449105658608,-0.29535924418934156,0,1,1,1,SPY/SH,thirty_day,oos
-0.11621942312960162,-0.11621942312960162,-0.08145374386420157,0,1,1,1,SPY/SPXU,next_day,oos
0.8499814130520389,-0.11126942312960454,-0.07650202096073366,1,0,1,1,SPY/SPXU,end_of_week,oos
-1.4276016100192501,-3.073556860726824,-0.9834593394560609,0,1,1,1,SPY/SPXU,thirty_day,oos
-0.0805072867738345,-0.18832616890510864,-0.18832616890510634,0,1,1,1,TNA/TZA,next_day,oos
0.8797582867277524,-0.1969045893560455,-0.1969045893560506,1,0,1,1,TNA/TZA,end_of_week,oos
-2.2219993760453796,-3.3592969227738494,-1.1557193832737234,0,1,1,1,TNA/TZA,thirty_day,oos
-0.17433355131455755,-0.17433355131455755,-0.1490367690104466,0,1,1,1,TQQQ/SQQQ,next_day,oos
0.9264201413123955,-0.16938355131456045,-0.14408551463293007,1,0,1,1,TQQQ/SQQQ,end_of_week,oos
-1.835917928603376,-4.020687352389797,-1.196181458851886,0,1,1,1,TQQQ/SQQQ,thirty_day,oos
0.2902637722842919,-0.5629238682678753,-0.34552188442175114,6,6,12,1,XLF/SKF,next_day,full
0.7930014580209973,-0.7837720936238555,-0.37964536481102096,7,5,12,2,XLF/SKF,end_of_week,full
3.5699443007786615,-2.6516135947487847,-1.815707137165412,9,3,12,7,XLF/SKF,thirty_day,full
1.0520647536260803,-0.9283295326980748,-0.4203763071637612,8,4,12,1,QQQ/SQQQ,next_day,full
2.742629910623233,-0.761285450366561,-0.6651062929227347,8,4,12,2,QQQ/SQQQ,end_of_week,full
3.3657534967550453,-5.776690100155337,-3.141345916547733,8,4,12,7,QQQ/SQQQ,thirty_day,full
1.2271986013268907,-1.3912358414764958,-0.41209340808323613,7,5,12,1,IWM/TZA,next_day,full
3.033064084830665,-1.3739698662328939,-1.175260300861014,7,5,12,2,IWM/TZA,end_of_week,full
0.4342561000444402,-6.055699098965034,-5.37739152535589,6,6,12,7,IWM/TZA,thirty_day,full
0.17891452101268807,-0.21249067052776638,-0.08759449835756827,8,4,12,1,SPY/SH,next_day,full
0.6523845455891569,-0.1974686639260593,-0.19746866392605922,7,5,12,2,SPY/SH,end_of_week,full
0.79581958517975,-1.4805304803302526,-0.9243288992879295,8,4,12,7,SPY/SH,thirty_day,full
0.6022492062020028,-0.5602935583379631,-0.26459476596573106,8,4,12,1,SPY/SPXU,next_day,full
1.9098262905254233,-0.6040273935108827,-0.6040273935108864,7,5,12,2,SPY/SPXU,end_of_week,full
2.028619380715536,-4.522225089762113,-2.836969431268166,8,4,12,7,SPY/SPXU,thirty_day,full
1.7327145194622715,-1.3910811062306154,-0.41212902113079153,7,5,12,1,TNA/TZA,next_day,full
3.9060078958175004,-1.2987179614692734,-1.1750821648799925,7,5,12,2,TNA/TZA,end_of_week,full
1.1883656526324777,-6.022830125806109,-5.347996227354301,6,6,12,7,TNA/TZA,thirty_day,full
1.1901996550676266,-0.9270740170624285,-0.4198058556562745,8,4,12,1,TQQQ/SQQQ,next_day,full
2.96814634175571,-0.7478985804153695,-0.6681263240007507,8,4,12,2,TQQQ/SQQQ,end_of_week,full
2.795603757790057,-5.7882574142288545,-3.157946671051881,8,4,12,7,TQQQ/SQQQ,thirty_day,full
