date,cash,positions_mtm,total_value,num_open
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-20,100000.0,0.0,100000.0,0
2025-12-21,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-25,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-27,100000.0,0.0,100000.0,0
2025-12-28,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-01,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-03,100000.0,0.0,100000.0,0
2026-01-04,100000.0,0.0,100000.0,0
2026-01-05,90000.00000000001,10000.0,100000.00000000001,3
2026-01-06,99882.00589970502,0.0,99882.00589970502,0
2026-01-07,89893.80530973453,9988.200589970504,99882.00589970502,3
2026-01-08,100033.34227228034,0.0,100033.34227228034,0
2026-01-09,100033.34227228034,0.0,100033.34227228034,0
2026-01-10,100033.34227228034,0.0,100033.34227228034,0
2026-01-11,100033.34227228034,0.0,100033.34227228034,0
2026-01-12,100033.34227228034,0.0,100033.34227228034,0
2026-01-13,100033.34227228034,0.0,100033.34227228034,0
2026-01-14,90030.00804505231,10003.334227228033,100033.34227228034,1
2026-01-15,101165.79520366465,0.0,101165.79520366465,0
2026-01-16,101165.79520366465,0.0,101165.79520366465,0
2026-01-17,101165.79520366465,0.0,101165.79520366465,0
2026-01-18,91049.2156832982,10116.579520366466,101165.79520366466,3
2026-01-19,101143.3507100934,0.0,101143.3507100934,0
2026-01-20,101143.3507100934,0.0,101143.3507100934,0
2026-01-21,91029.01563908406,10114.33507100934,101143.3507100934,1
2026-01-22,91029.01563908404,10114.33507100934,101143.35071009338,4
2026-01-23,101076.97279330251,0.0,101076.97279330251,0
2026-01-24,101076.97279330251,0.0,101076.97279330251,0
2026-01-25,101076.97279330251,0.0,101076.97279330251,0
2026-01-26,101076.97279330251,0.0,101076.97279330251,0
2026-01-27,101076.97279330251,0.0,101076.97279330251,0
2026-01-28,90969.27551397229,10107.697279330252,101076.97279330254,4
2026-01-29,101295.55279083381,0.0,101295.55279083381,0
2026-01-30,101295.55279083381,0.0,101295.55279083381,0
2026-01-31,101295.55279083381,0.0,101295.55279083381,0
2026-02-01,101295.55279083381,0.0,101295.55279083381,0
2026-02-02,101295.55279083381,0.0,101295.55279083381,0
2026-02-03,101295.55279083381,0.0,101295.55279083381,0
2026-02-04,101295.55279083381,0.0,101295.55279083381,0
2026-02-05,101295.55279083381,0.0,101295.55279083381,0
2026-02-06,101295.55279083381,0.0,101295.55279083381,0
2026-02-07,101295.55279083381,0.0,101295.55279083381,0
2026-02-08,91165.99751175042,10129.555279083383,101295.55279083381,3
2026-02-09,101615.2988539362,0.0,101615.2988539362,0
2026-02-10,101615.2988539362,0.0,101615.2988539362,0
2026-02-11,101615.2988539362,0.0,101615.2988539362,0
2026-02-12,101615.2988539362,0.0,101615.2988539362,0
2026-02-13,101615.2988539362,0.0,101615.2988539362,0
2026-02-14,101615.2988539362,0.0,101615.2988539362,0
2026-02-15,101615.2988539362,0.0,101615.2988539362,0
2026-02-16,101615.2988539362,0.0,101615.2988539362,0
2026-02-17,101615.2988539362,0.0,101615.2988539362,0
2026-02-18,101615.2988539362,0.0,101615.2988539362,0
2026-02-19,101615.2988539362,0.0,101615.2988539362,0
2026-02-20,101615.2988539362,0.0,101615.2988539362,0
2026-02-21,101615.2988539362,0.0,101615.2988539362,0
2026-02-22,101615.2988539362,0.0,101615.2988539362,0
2026-02-23,101615.2988539362,0.0,101615.2988539362,0
2026-02-24,101615.2988539362,0.0,101615.2988539362,0
2026-02-25,101615.2988539362,0.0,101615.2988539362,0
2026-02-26,101615.2988539362,0.0,101615.2988539362,0
2026-02-27,101615.2988539362,0.0,101615.2988539362,0
2026-02-28,101615.2988539362,0.0,101615.2988539362,0
2026-03-01,101615.2988539362,0.0,101615.2988539362,0
2026-03-02,101615.2988539362,0.0,101615.2988539362,0
2026-03-03,101615.2988539362,0.0,101615.2988539362,0
