ticker,name,window,inverse_return,inverse_final,inverse_wins,inverse_losses,believe_return,believe_final,spread
SPY,S&P 500,next_day,73.9938901913866,173993.8901913866,5,8,-17.895458192199964,82104.54180780004,91.88934838358657
SPY,S&P 500,end_of_week,32.903721930024766,132903.72193002477,6,7,-52.23954872413822,47760.451275861786,85.14327065416299
SPY,S&P 500,thirty_day,8.104977556039595,108104.9775560396,5,8,-67.03080119356665,32969.19880643336,75.13577874960625
IWM,Russell 2000 (Small Caps),next_day,266.2619274219648,366261.92742196476,6,7,68.18692947038633,168186.92947038633,198.07499795157847
IWM,Russell 2000 (Small Caps),end_of_week,167.0789351889502,267078.9351889502,6,7,-40.31463398143843,59685.366018561566,207.39356917038862
IWM,Russell 2000 (Small Caps),thirty_day,34.94002468466607,134940.02468466607,7,6,-66.39462166044541,33605.3783395546,101.33464634511148
XLF,Financials,next_day,150.17229280134487,250172.29280134488,7,6,-34.84802445866237,65151.975541337626,185.02031726000723
XLF,Financials,end_of_week,113.54041330293178,213540.4133029318,7,6,-39.88188819238936,60118.111807610636,153.42230149532114
XLF,Financials,thirty_day,206.38692907798895,306386.92907798896,11,2,-72.08553704135831,27914.4629586417,278.47246611934725
XLE,Energy,next_day,-68.89548254937088,31104.51745062912,1,12,406.25247466063144,506252.47466063144,-475.14795721000235
XLE,Energy,end_of_week,-69.8503700316736,30149.62996832639,1,12,347.16951270586077,447169.5127058608,-417.0198827375344
XLE,Energy,thirty_day,-61.72093952012319,38279.06047987682,1,12,1922.8868271703468,2022886.8271703469,-1984.60776669047
XLI,Industrials,next_day,52.04082993482947,152040.82993482947,6,7,-10.622678900046479,89377.32109995352,62.66350883487595
XLI,Industrials,end_of_week,-4.915505655903311,95084.49434409669,4,9,-13.066842655628832,86933.15734437117,8.151336999725523
XLI,Industrials,thirty_day,-8.377593697986333,91622.40630201367,5,8,63.965774704707265,163965.77470470726,-72.3433684026936
SMH,Semiconductors,next_day,242.58446632475915,342584.4663247592,6,7,118.35214965625698,218352.14965625698,124.23231666850216
SMH,Semiconductors,end_of_week,202.03038915439757,302030.3891543976,7,6,2.560857875420086,102560.85787542009,199.46953127897748
SMH,Semiconductors,thirty_day,-42.97499696531177,57025.003034688234,5,8,-41.25148276568847,58748.51723431153,-1.7235141996232954
KRE,Regional Banks,next_day,55.396061677876865,155396.06167787686,5,8,757.4801250610548,857480.1250610547,-702.0840633831779
KRE,Regional Banks,end_of_week,128.5053563500268,228505.3563500268,6,7,-11.883747606095989,88116.25239390401,140.3891039561228
KRE,Regional Banks,thirty_day,103.59339322142331,203593.39322142332,5,8,-21.269695172680876,78730.30482731912,124.86308839410418
XHB,Homebuilders,next_day,86.69380635629862,186693.80635629862,5,8,46.802402769487436,146802.40276948744,39.89140358681119
XHB,Homebuilders,end_of_week,285.70046968002003,385700.46968002006,7,6,29.63367432709597,129633.67432709597,256.0667953529241
XHB,Homebuilders,thirty_day,108.57489248545038,208574.89248545037,6,7,2.7989290614819473,102798.92906148195,105.77596342396843
EEM,Emerging Markets,next_day,45.108570998987645,145108.57099898765,5,8,-17.047081218332753,82952.91878166725,62.155652217320394
EEM,Emerging Markets,end_of_week,11.436709149579707,111436.7091495797,4,9,-30.291978726397446,69708.02127360256,41.72868787597715
EEM,Emerging Markets,thirty_day,1.1092329899692122,101109.23298996921,5,8,-3.535906343281182,96464.09365671882,4.645139333250394
TQQQ,3x Nasdaq,next_day,527.0109793140715,627010.9793140715,7,6,62.06653208526267,162066.53208526268,464.9444472288088
TQQQ,3x Nasdaq,end_of_week,496.3705194332863,596370.5194332863,8,5,34.02857156634406,134028.57156634406,462.34194786694223
TQQQ,3x Nasdaq,thirty_day,544.3791696137505,644379.1696137505,9,4,-63.608225506438146,36391.774493561854,607.9873951201887
SPXL,3x S&P 500,next_day,402.48036562523,502480.36562522996,7,6,66.47835196293876,166478.35196293876,336.00201366229123
SPXL,3x S&P 500,end_of_week,224.4469148852902,324446.9148852902,7,6,-12.230563380560051,87769.43661943995,236.67747826585025
SPXL,3x S&P 500,thirty_day,122.52451712681633,222524.51712681632,9,4,-66.82411221830553,33175.88778169447,189.34862934512188
TNA,3x Russell 2000,next_day,3496.8779901820144,3596877.990182014,6,7,1191.7050380323283,1291705.0380323282,2305.1729521496864
TNA,3x Russell 2000,end_of_week,3294.7718514674493,3394771.851467449,6,7,51.17682031068773,151176.82031068773,3243.5950311567617
TNA,3x Russell 2000,thirty_day,223.80932195939548,323809.3219593955,8,5,-62.00019540991071,37999.80459008929,285.8095173693062
