open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit
2026-01-05,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,NO,0.9925,0.9995,559.7537083683179,555.5555555555555,559.4738315141337,3.9182759585781923,True
2026-01-05,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,NO,0.905,0.9965,613.8735420503376,555.5555555555555,611.7249846531614,56.16942909760587,True
2026-01-07,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0055,0.0005,90909.0909090908,499.9999999999993,45.454545454545396,-454.54545454545394,True
2026-01-07,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.105,0.0035,4761.904761904756,499.9999999999994,16.666666666666647,-483.33333333333275,True
2026-01-14,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0025,0.0005,147272.72727272706,368.1818181818177,73.63636363636353,-294.54545454545416,True
2026-01-14,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.041,0.0035,8980.044345897992,368.1818181818177,31.430155210642972,-336.7516629711747,True
2026-01-18,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0035,0.0005,94675.32467532439,331.36363636363535,47.337662337662195,-284.02597402597314,True
2026-01-18,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.0385,0.0035,8606.847697756762,331.36363636363535,30.12396694214867,-301.23966942148667,True
2026-01-21,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0015,0.0005,190173.91304347783,285.26086956521675,95.08695652173891,-190.17391304347785,True
2026-01-21,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.0245,0.0035,11643.300798580274,285.26086956521675,40.75155279503096,-244.5093167701858,True
2026-01-22,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0015,0.0005,171156.5217391301,256.7347826086952,85.57826086956506,-171.15652173913014,True
2026-01-22,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.0185,0.0035,13877.555816686227,256.7347826086952,48.571445358401796,-208.16333725029338,True
2026-01-28,2026-01-28,601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-cut,YES,0.0005,0.0005,456916.13659966696,228.45806829983349,228.45806829983349,0.0,True
2026-01-28,2026-01-28,601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-cut,YES,0.0035,0.0035,65273.733799952424,228.45806829983349,228.45806829983349,0.0,True
2026-01-05,2026-01-31,1092199,"US strikes Iran by January 31, 2026?",iran-strike,NO,0.77,0.925,721.5007215007215,555.5555555555555,667.3881673881674,111.83261183261186,True
2026-01-05,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,1111111.111111111,555.5555555555555,555.5555555555555,0.0,True
2026-01-05,2026-01-31,704339,"Russia x Ukraine ceasefire by January 31, 2026?",ukraine-ceasefire,NO,0.952,0.9965,583.5667600373483,555.5555555555555,581.5242763772177,25.968720821662146,True
2026-01-05,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,600.6006006006006,555.5555555555555,555.5555555555555,0.0,True
2026-01-05,2026-01-31,920389,Will Trump talk to Vladimir Putin in January?,trump-calls,NO,0.34,0.71,1633.986928104575,555.5555555555555,1160.1307189542483,604.5751633986928,True
2026-01-05,2026-01-31,920396,Will Trump talk to Emmanuel Macron in January?,trump-calls,NO,0.2,0.0005,2777.7777777777774,555.5555555555555,1.3888888888888886,-554.1666666666666,True
2026-01-07,2026-01-31,1092199,"US strikes Iran by January 31, 2026?",iran-strike,YES,0.145,0.075,3448.2758620689615,499.9999999999994,258.6206896551721,-241.37931034482727,True
2026-01-07,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,500.2501250625306,499.9999999999994,499.9999999999994,0.0,True
2026-01-07,2026-01-31,704339,"Russia x Ukraine ceasefire by January 31, 2026?",ukraine-ceasefire,YES,0.0305,0.0035,16393.4426229508,499.9999999999994,57.377049180327795,-442.6229508196716,True
2026-01-07,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,YES,0.075,0.075,6666.666666666659,499.9999999999994,499.9999999999994,0.0,True
2026-01-07,2026-01-31,920389,Will Trump talk to Vladimir Putin in January?,trump-calls,YES,0.685,0.29,729.9270072992691,499.9999999999994,211.67883211678804,-288.32116788321133,True
2026-01-07,2026-01-31,920396,Will Trump talk to Emmanuel Macron in January?,trump-calls,YES,0.795,0.9995,628.930817610062,499.9999999999993,628.6163522012571,128.61635220125777,True
2026-01-14,2026-01-31,1092199,"US strikes Iran by January 31, 2026?",iran-strike,YES,0.645,0.075,570.8245243128956,368.1818181818177,42.81183932346717,-325.3699788583505,True
2026-01-14,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,YES,0.9995,0.9995,368.36600118240887,368.1818181818177,368.1818181818177,0.0,True
2026-01-14,2026-01-31,1144023,U.S. anti-cartel ground operation in Mexico by January 31?,mexico-ops,YES,0.065,0.0475,5664.3356643356565,368.1818181818177,269.0559440559437,-99.12587412587396,True
