date,cash,positions_mtm,total_value,num_open
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-20,100000.0,0.0,100000.0,0
2025-12-21,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-25,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-27,100000.0,0.0,100000.0,0
2025-12-28,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-01,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-03,100000.0,0.0,100000.0,0
2026-01-04,100000.0,0.0,100000.0,0
2026-01-05,89999.99999999988,9999.999999999998,99999.99999999988,18
2026-01-06,99612.82521174429,0.0,99612.82521174429,0
2026-01-07,89651.54269056997,9961.28252117443,99612.8252117444,18
2026-01-08,99684.68259086598,0.0,99684.68259086598,0
2026-01-09,99684.68259086598,0.0,99684.68259086598,0
2026-01-10,99684.68259086598,0.0,99684.68259086598,0
2026-01-11,99684.68259086598,0.0,99684.68259086598,0
2026-01-12,99684.68259086598,0.0,99684.68259086598,0
2026-01-13,99684.68259086598,0.0,99684.68259086598,0
2026-01-14,89716.21433177935,9968.468259086601,99684.68259086595,22
2026-01-15,99760.51671575676,0.0,99760.51671575676,0
2026-01-16,99760.51671575676,0.0,99760.51671575676,0
2026-01-17,99760.51671575676,0.0,99760.51671575676,0
2026-01-18,89784.46504418104,9976.051671575682,99760.51671575672,22
2026-01-19,100087.38135563176,0.0,100087.38135563176,0
2026-01-20,100087.38135563176,0.0,100087.38135563176,0
2026-01-21,90078.64322006871,10008.738135563177,100087.3813556319,23
2026-01-22,89922.42880609569,9991.380978455067,99913.80978455076,23
2026-01-23,99779.29757043826,0.0,99779.29757043826,0
2026-01-24,99779.29757043826,0.0,99779.29757043826,0
2026-01-25,99779.29757043826,0.0,99779.29757043826,0
2026-01-26,99779.29757043826,0.0,99779.29757043826,0
2026-01-27,99779.29757043826,0.0,99779.29757043826,0
2026-01-28,89801.3678133943,9977.929757043823,99779.29757043812,24
2026-01-29,89418.22981661768,9935.358868513058,99353.58868513073,22
2026-01-30,98619.74083250144,0.0,98619.74083250144,0
2026-01-31,98619.74083250144,0.0,98619.74083250144,0
2026-02-01,98619.74083250144,0.0,98619.74083250144,0
2026-02-02,98619.74083250144,0.0,98619.74083250144,0
2026-02-03,98619.74083250144,0.0,98619.74083250144,0
2026-02-04,88757.76674925134,9861.974083250147,98619.74083250148,14
2026-02-05,98451.37102300674,0.0,98451.37102300674,0
2026-02-06,98451.37102300674,0.0,98451.37102300674,0
2026-02-07,98451.37102300674,0.0,98451.37102300674,0
2026-02-08,88606.23392070612,9845.137102300674,98451.3710230068,14
2026-02-09,98436.20251914382,0.0,98436.20251914382,0
2026-02-10,98436.20251914382,0.0,98436.20251914382,0
2026-02-11,98436.20251914382,0.0,98436.20251914382,0
2026-02-12,88592.58226722953,9843.620251914383,98436.20251914392,14
2026-02-13,98295.52290464539,0.0,98295.52290464539,0
2026-02-14,98295.52290464539,0.0,98295.52290464539,0
2026-02-15,98295.52290464539,0.0,98295.52290464539,0
2026-02-16,98295.52290464539,0.0,98295.52290464539,0
2026-02-17,98295.52290464539,0.0,98295.52290464539,0
2026-02-18,98295.52290464539,0.0,98295.52290464539,0
2026-02-19,98295.52290464539,0.0,98295.52290464539,0
2026-02-20,98295.52290464539,0.0,98295.52290464539,0
2026-02-21,98295.52290464539,0.0,98295.52290464539,0
2026-02-22,98295.52290464539,0.0,98295.52290464539,0
2026-02-23,98295.52290464539,0.0,98295.52290464539,0
2026-02-24,88465.97061418078,9829.552290464539,98295.52290464532,14
2026-02-25,98262.73431574393,0.0,98262.73431574393,0
2026-02-26,98262.73431574393,0.0,98262.73431574393,0
2026-02-27,98262.73431574393,0.0,98262.73431574393,0
2026-02-28,98262.73431574393,0.0,98262.73431574393,0
2026-03-01,98262.73431574393,0.0,98262.73431574393,0
2026-03-02,98262.73431574393,0.0,98262.73431574393,0
