date,trade_date,signal,spot,strike,volatility,option_price_next_day,num_contracts_next_day,dte_next_day,expiry_price_next_day,pnl_gross_next_day,commission_next_day,pnl_next_day,portfolio_next_day,option_price_end_of_week,num_contracts_end_of_week,dte_end_of_week,expiry_price_end_of_week,pnl_gross_end_of_week,commission_end_of_week,pnl_end_of_week,portfolio_end_of_week,option_price_thirty_day,num_contracts_thirty_day,dte_thirty_day,expiry_price_thirty_day,pnl_gross_thirty_day,commission_thirty_day,pnl_thirty_day,portfolio_thirty_day
2026-01-05,2026-01-05,put,686.5399780273438,687,0.2,3.054634507499941,32,1,691.8099975585938,-9774.83042399981,41.95,-9816.780423999811,90183.21957600019,5.776604752264234,17,4,694.0700073242188,-9820.228078849197,26.95,-9847.178078849198,90152.8219211508,14.524698162953541,6,30,686.1900024414062,-8228.820362615876,31.9,-8260.720362615875,91739.27963738413
2026-01-07,2026-01-07,call,692.1900024414062,692,0.2,3.0348261758560966,29,1,689.510009765625,-8800.995909982681,38.95,-8839.945909982682,81343.27366601751,4.2796463314106745,21,2,694.0700073242188,-4640.241915103042,61.9,-4702.141915103041,85450.68000604775,17.356942513167724,5,30,690.6199951171875,-8678.471256583862,14.95,-8693.421256583862,83045.85838080026
2026-01-14,2026-01-14,call,691.0,691,0.2,2.933197952040757,27,1,692.239990234375,-4571.660837697545,73.9,-4645.560837697544,76697.71282831997,4.17593570162262,20,2,691.6599731445312,-7031.925114182741,59.9,-7091.82511418274,78358.85489186502,17.229233822079777,4,30,681.75,-6891.693528831911,13.95,-6905.643528831911,76140.21485196835
2026-01-18,2026-01-20,call,681.489990234375,681,0.2,3.1460349587270002,24,1,685.4000244140625,3009.5746928051994,67.9,2941.6746928051994,79639.38752112517,5.321237387108795,14,3,689.22998046875,4072.2403142976873,47.9,4024.340314297687,82383.19520616271,17.245692514044777,4,30,684.47998046875,-5506.284818117911,27.9,-5534.18481811791,70606.03003385045
2026-01-21,2026-01-21,call,679.6500244140625,680,0.2,2.7123915072609748,29,1,688.97998046875,18176.00798831817,77.9,18098.10798831817,97737.49550944334,3.9332814339823585,20,2,689.22998046875,10593.398069535284,59.9,10533.498069535284,92916.693275698,16.76661207457596,4,30,689.4299926757812,-2934.647759517884,27.9,-2962.547759517884,67643.48227433256
2026-01-22,2026-01-22,call,689.8499755859375,690,0.2,2.853466025108787,34,1,689.22998046875,-9701.784485369877,43.95,-9745.734485369878,87991.76102407346,2.853466025108787,32,1,689.22998046875,-9131.091280348119,41.95,-9173.04128034812,83743.65199534988,17.123405269609066,3,30,682.3900146484375,-5137.02158088272,12.95,-5149.9715808827195,62493.51069344985
2026-01-28,2026-01-28,call,697.0499877929688,697,0.2,2.9840946190238355,29,1,694.0399780273438,-8653.874395169123,38.95,-8692.824395169124,79298.93662890434,4.237754424750335,19,2,691.969970703125,-8051.733407025637,28.95,-8080.683407025636,75662.96858832425,17.40584042558163,3,30,685.989990234375,-5221.752127674489,12.95,-5234.702127674489,57258.808565775355
2026-01-29,2026-01-29,call,696.3900146484375,696,0.2,3.156440398147879,25,1,691.969970703125,-7891.100995369698,34.95,-7926.050995369697,71372.88563353464,3.156440398147879,23,1,691.969970703125,-7259.812915740122,32.95,-7292.762915740122,68370.20567258412,17.565252449226023,3,30,686.3800048828125,-5269.575734767806,12.95,-5282.525734767806,51976.28283100755
2026-02-04,2026-02-04,call,690.3499755859375,690,0.10549287185366527,1.7528272312020476,40,1,677.6199951171875,-7011.308924808191,49.95,-7061.25892480819,64311.62670872644,2.430051416359504,28,2,690.6199951171875,-5068.157637681611,75.9,-5144.057637681611,63226.148034902515,9.996466076803529,5,30,672.3800048828125,-4998.233038401764,14.95,-5013.183038401764,46963.09979260578
2026-02-08,2026-02-09,call,689.4199829101562,689,0.13307505431983085,2.1832180280683247,29,1,692.1199951171875,2716.6535584456087,77.9,2638.7535584456086,66950.38026717205,4.241213059021163,14,4,681.75,-5937.698282629628,23.95,-5961.648282629628,57264.49975227289,12.170591256153102,3,30,676.3300170898438,-3651.1773768459307,12.95,-3664.1273768459305,43298.972415759854
2026-02-12,2026-02-12,call,694.239990234375,694,0.14303201737484494,2.2448406172696878,29,1,681.75,-6510.037790082095,38.95,-6548.987790082095,60401.392477089954,2.2448406172696878,25,1,681.75,-5612.10154317422,34.95,-5647.05154317422,51617.44820909867,12.9409574465368,3,30,662.2899780273438,-3882.28723396104,12.95,-3895.2372339610397,39403.73518179882
2026-02-24,2026-02-24,call,681.9000244140625,682,0.12529229695658936,1.7807855732654616,33,1,693.1500244140625,30918.488174630227,85.9,30832.588174630226,91233.98065172018,3.1806093421016612,16,3,685.989990234375,1295.009427637342,51.9,1243.109427637342,52860.55763673601,11.159624191361445,3,30,662.2899780273438,-3347.8872574084335,12.95,-3360.8372574084333,36042.89792439038
2026-03-10,2026-03-10,call,677.719970703125,678,0.11498979292530953,1.5356760752407013,59,1,676.3300170898438,-9060.488843920137,68.95,-9129.438843920138,82104.54180780004,2.8178646449301255,18,3,662.2899780273438,-5072.156360874225,27.95,-5100.106360874225,47760.451275861786,10.20249705985674,3,30,662.2899780273438,-3060.7491179570216,12.95,-3073.6991179570214,32969.19880643336
