date,trade_date,signal,spot,strike,volatility,option_price_next_day,num_contracts_next_day,dte_next_day,expiry_price_next_day,pnl_gross_next_day,commission_next_day,pnl_next_day,portfolio_next_day,option_price_end_of_week,num_contracts_end_of_week,dte_end_of_week,expiry_price_end_of_week,pnl_gross_end_of_week,commission_end_of_week,pnl_end_of_week,portfolio_end_of_week,option_price_thirty_day,num_contracts_thirty_day,dte_thirty_day,expiry_price_thirty_day,pnl_gross_thirty_day,commission_thirty_day,pnl_thirty_day,portfolio_thirty_day
2026-01-05,2026-01-05,call,686.5399780273438,687,0.2,2.6887156783168393,37,1,691.8099975585938,7848.7429570245695,93.9,7754.84295702457,107754.84295702456,5.692918020810794,17,4,694.0700073242188,2341.0518157935257,53.9,2287.1518157935257,102287.15181579352,16.88217052428888,5,30,686.1900024414062,-8441.085262144441,14.95,-8456.035262144442,91543.96473785555
2026-01-07,2026-01-07,put,692.1900024414062,692,0.2,2.7500357063807996,39,1,689.510009765625,-1014.1773408226186,97.9,-1112.0773408226187,106642.76561620194,3.900080817638411,26,2,694.0700073242188,-10140.210125859869,35.95,-10176.16012585987,92110.99168993365,14.328939956590887,6,30,690.6199951171875,-7769.361044267032,31.9,-7801.261044267032,83742.70369358853
2026-01-14,2026-01-14,put,691.0,691,0.2,2.8385469008909467,37,1,692.239990234375,-10502.623533296503,46.95,-10549.573533296503,96093.19208290544,3.986646564332375,23,2,691.6599731445312,-9169.287097964463,32.95,-9202.237097964464,82908.75459196919,14.39533486314508,5,30,681.75,-2572.6674315725404,29.9,-2602.5674315725405,81140.13626201599
2026-01-18,2026-01-20,put,681.489990234375,681,0.2,2.562763442393873,37,1,685.4000244140625,-9482.22473685733,46.95,-9529.17473685733,86564.01734604812,4.551441637257199,18,3,689.22998046875,-8192.594947062957,27.95,-8220.544947062957,74688.20964490624,13.96281488309296,5,30,684.47998046875,-6981.40744154648,14.95,-6996.35744154648,74143.77882046951
2026-01-21,2026-01-21,put,679.6500244140625,680,0.2,2.969222788159584,29,1,688.97998046875,-8610.746085662793,38.95,-8649.696085662794,77914.32126038532,4.09698116846198,18,2,689.22998046875,-7374.566103231564,27.95,-7402.516103231564,67285.69354167467,14.327801420172364,5,30,689.4299926757812,-7163.900710086182,14.95,-7178.850710086182,66964.92811038333
2026-01-22,2026-01-22,put,689.8499755859375,690,0.2,2.9089763649405995,26,1,689.22998046875,-5561.287767595559,71.9,-5633.187767595558,72281.13349278976,2.9089763649405995,23,1,689.22998046875,-4919.600717488379,65.9,-4985.5007174883785,62300.19282418629,14.443631880972589,4,30,682.3900146484375,-2733.4586117640356,27.9,-2761.3586117640357,64203.5694986193
2026-01-28,2026-01-28,put,697.0499877929688,697,0.2,2.83863391339014,25,1,694.0399780273438,303.4701481652746,69.9,233.57014816527462,72514.70364095503,3.9968338840373008,15,2,691.969970703125,1549.7931192565488,49.9,1499.8931192565487,63800.08594344284,14.497346736263296,4,30,685.989990234375,-1394.9347882553184,27.9,-1422.8347882553185,62780.73471036398
2026-01-29,2026-01-29,put,696.3900146484375,696,0.2,2.6710898139646133,27,1,691.969970703125,3669.136603858044,73.9,3595.236603858044,76109.94024481307,2.6710898139646133,23,1,691.969970703125,3125.5608106938894,65.9,3059.6608106938893,66859.74675413674,14.320833060674772,4,30,686.3800048828125,-1880.335177394909,27.9,-1908.235177394909,60872.499532969065
2026-02-04,2026-02-04,put,690.3499755859375,690,0.10549287185366527,1.30833757103386,58,1,677.6199951171875,64215.67040831611,135.9,64079.77040831611,140189.71065312918,1.891060628207299,35,2,690.6199951171875,-6618.712198725547,44.95,-6663.662198725547,60196.08455541119,6.816692688167052,8,30,672.3800048828125,8642.641943216358,35.9,8606.741943216359,69479.24147618542
2026-02-08,2026-02-09,put,689.4199829101562,689,0.13307505431983085,1.66885802060051,84,1,692.1199951171875,-14018.407373044283,93.95,-14112.357373044284,126077.35328008489,3.4437993174401527,17,4,681.75,6470.5411603517405,53.9,6416.641160351741,66612.72571576294,8.924911699533538,7,30,676.3300170898438,2621.5498474358983,33.9,2587.649847435898,72066.89132362131
2026-02-12,2026-02-12,put,694.239990234375,694,0.14303201737484494,1.9097884009872814,66,1,681.75,68245.39655348394,151.9,68093.49655348394,194170.84983356885,1.9097884009872814,34,1,681.75,35156.719436643245,87.9,35068.81943664324,101681.54515240618,9.85476478451966,7,30,662.2899780273438,15298.680031695614,33.9,15264.780031695615,87331.67135531692
2026-02-24,2026-02-24,put,681.9000244140625,682,0.12529229695658936,1.7873429003257684,108,1,693.1500244140625,-19303.3033235183,117.95,-19421.2533235183,174749.59651005056,3.00036853809047,33,3,685.989990234375,-9901.216175698552,42.95,-9944.166175698552,91737.37897670762,8.462611224486238,10,30,662.2899780273438,11247.410748170012,39.9,11207.510748170012,98539.18210348694
2026-03-10,2026-03-10,put,677.719970703125,678,0.11498979292530953,1.7228350209150562,101,1,676.3300170898438,-533.8063186639431,221.9,-755.7063186639431,173993.8901913866,2.8193210497446444,32,3,662.2899780273438,41250.24295331714,83.9,41166.34295331714,132903.72193002477,7.701942428862367,12,30,662.2899780273438,9609.69545255266,43.9,9565.79545255266,108104.9775560396
