open_date,close_date,market_id,question,topic,side,entry_price,exit_price,shares,committed,proceeds,realized_pnl,forced_exit,return_pct
2026-01-05,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6666666.666666667,3333.3333333333335,3333.3333333333335,0.0,True,0.0
2026-01-05,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3603.6036036036035,3333.3333333333335,3333.3333333333335,0.0,True,0.0
2026-01-07,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,3243.243243243244,3000.0000000000005,3000.0000000000005,0.0,True,0.0
2026-01-07,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,6000000.000000001,3000.0000000000005,3000.0000000000005,0.0,True,0.0
2026-01-22,2026-01-31,1094682,Maduro in U.S. custody by January 31?,venezuela,NO,0.0005,0.0005,2952450.0000000005,1476.2250000000004,1476.2250000000004,0.0,True,0.0
2026-01-22,2026-01-31,916440,"Maduro out by January 31, 2026?",venezuela,NO,0.925,0.925,1595.9189189189192,1476.2250000000004,1476.2250000000004,0.0,True,0.0
2026-01-05,2026-02-04,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.545,5899.705014749264,3333.3333333333335,3215.339233038349,-117.99410029498449,False,-3.5398230088495417
2026-01-07,2026-02-06,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.78,0.705,3846.1538461538466,3000.0000000000005,2711.538461538462,-288.46153846153857,False,-9.615384615384624
2026-01-14,2026-02-13,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.735,0.735,11020.408163265309,8100.000000000002,8100.000000000002,0.0,False,0.0
2026-01-18,2026-02-17,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.675,0.745,3600.0000000000005,2430.0000000000005,2682.0000000000005,252.0,False,10.370370370370363
2026-01-18,2026-02-17,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.765,0.815,3176.4705882352946,2430.0000000000005,2588.823529411765,158.8235294117644,False,6.535947712418292
2026-01-18,2026-02-17,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.805,0.885,3018.633540372671,2430.0000000000005,2671.490683229814,241.49068322981338,False,9.937888198757758
2026-01-21,2026-02-20,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.685,0.745,9578.102189781024,6561.000000000002,7135.686131386863,574.6861313868612,False,8.759124087591232
2026-01-22,2026-02-21,1126504,Will the US acquire part of Greenland in 2026?,greenland,NO,0.735,0.825,2008.4693877551026,1476.2250000000004,1656.9872448979595,180.76224489795914,False,12.24489795918367
2026-01-22,2026-02-21,997488,Will Trump acquire Greenland before 2027?,greenland,NO,0.885,0.886,1668.0508474576275,1476.2250000000004,1477.893050847458,1.6680508474576072,False,0.11299435028248597
2026-01-28,2026-02-27,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.695,0.745,1911.658273381296,1328.6025000000006,1424.1854136690656,95.58291366906496,False,7.1942446043165535
2026-01-28,2026-02-27,1171663,"Russia x Ukraine ceasefire by June 30, 2026?",ukraine-ceasefire,NO,0.74,0.845,1795.4087837837847,1328.6025000000006,1517.120422297298,188.51792229729745,False,14.189189189189186
2026-01-28,2026-02-27,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.935,0.9985,1420.965240641712,1328.6025000000006,1418.8337927807495,90.23129278074884,False,6.79144385026738
2026-01-28,2026-02-27,567687,Russia x Ukraine ceasefire by end of 2026?,ukraine-ceasefire,NO,0.565,0.635,2351.5088495575233,1328.6025000000004,1493.2081194690272,164.6056194690268,False,12.389380530973463
2026-02-01,2026-02-28,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.945,0.9995,1342.831887125221,1268.9761333333338,1342.1604711816585,73.18433784832473,True,5.767195767195778
2026-02-03,2026-02-28,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.9585,0.9995,1489.408607198748,1427.59815,1488.6639028951488,61.06575289514876,True,4.277516953573295
2026-02-17,2026-02-28,1243248,"Russia x Ukraine ceasefire by February 28, 2026?",ukraine-ceasefire,NO,0.9865,0.9995,1562.641844887197,1541.54617998122,1561.8605239647536,20.314343983533718,True,1.317790167257984
2026-02-01,2026-03-03,586301,Supreme Court rules in favor of Trump's tariffs?,tariffs,NO,0.685,0.745,1852.5199026763996,1268.9761333333338,1380.1273274939176,111.15119416058383,False,8.759124087591232
